abbreviati,country_co,country_na,mean,wld_rgn,month
,CD,Chad,1911.456312159004,Africa,2021-08
Mal.,MI,Malawi,1852.2382412335378,Africa,2021-08
Zam.,ZA,Zambia,1844.1143522810155,Africa,2021-08
Zimb.,ZI,Zimbabwe,1848.0935462723876,Africa,2021-08
Bots.,BC,Botswana,1843.7448493826496,Africa,2021-08
Nam.,WA,Namibia,1849.416854775519,Africa,2021-08
Ang.,AO,Angola,1849.1851975685859,Africa,2021-08
Buru.,BY,Burundi,1858.1275813936138,Africa,2021-08
Rw.,RW,Rwanda,1866.7047785093037,Africa,2021-08
S. Afr.,SF,South Africa,1836.7716094201842,Africa,2021-08
Leso.,LT,Lesotho,1835.6439019233553,Africa,2021-08
Swaz.,WZ,Swaziland,1838.8028688225188,Africa,2021-08
May.,MF,Mayotte,,Africa,2021-08
,NG,Niger,1917.3202586884486,Africa,2021-08
,SU,Sudan,1920.702136400994,Africa,2021-08
,LY,Libya,1914.7091908153081,Africa,2021-08
,UU,Koualou Area,,Africa,2021-08
Tun.,TS,Tunisia,1912.1941951569809,Africa,2021-08
,EG,Egypt,1920.7981930696487,Africa,2021-08
,EG,Bir Tawil,1927.3029478180993,Africa,2021-08
,SU,Halaib Triangle,1929.3764722666967,Africa,2021-08
Erit.,ER,Eritrea,1907.2918076761941,Africa,2021-08
Eth.,ET,Ethiopia,1873.5632734800804,Africa,2021-08
Dji.,DJ,Djibouti,1901.5155263290496,Africa,2021-08
Som.,SO,Somalia,1878.726205035605,Africa,2021-08
S. Sudan,OD,South Sudan,1865.1711867714625,Africa,2021-08
,UU,Abyei Area,1871.983182267535,Africa,2021-08
,KE,Kenya,1860.1054024189043,Africa,2021-08
Ug.,UG,Uganda,1853.0359459204437,Africa,2021-08
Tanz.,TZ,Tanzania,1854.4687076124437,Africa,2021-08
Moz.,MZ,Mozambique,1837.2796348925635,Africa,2021-08
Como.,CN,Comoros,,Africa,2021-08
Madag.,MA,Madagascar,1847.911902368549,Africa,2021-08
C. Ver.,CV,Cabo Verde,,Africa,2021-08
