abbreviati,country_co,country_na,mean,wld_rgn,month
Madag.,MA,Madagascar,5.721558096492256e-05,Africa,2018-11
C. Ver.,CV,Cabo Verde,4.603482483763134e-05,Africa,2018-11
W. Sah.,WI,Western Sahara,4.6120675651833295e-05,Africa,2018-11
Maur.,MR,Mauritania,4.493130830863503e-05,Africa,2018-11
Mor.,MO,Morocco,5.408913326684249e-05,Africa,2018-11
Sp.,SP,Spain (Canary Is),5.560464338842712e-05,Africa,2018-11
Port.,PO,Portugal (Madeira Is),5.4659730581758705e-05,Africa,2018-11
Sp.,SP,Spain (Africa),9.72275575105845e-05,Africa,2018-11
Alg.,AG,Algeria,5.0010463961015505e-05,Africa,2018-11
,ML,Mali,4.712701538104546e-05,Africa,2018-11
Burk.,UV,Burkina Faso,5.674265196119931e-05,Africa,2018-11
,TO,Togo,5.389114734653713e-05,Africa,2018-11
,GH,Ghana,5.480496543310722e-05,Africa,2018-11
C. d Iv.,IV,Cote d'Ivoire,4.9044589369124224e-05,Africa,2018-11
Gui.,GV,Guinea,5.301064797206342e-05,Africa,2018-11
Sen.,SG,Senegal,5.859221155131433e-05,Africa,2018-11
Gam.,GA,"Gambia, The",5.75544584453445e-05,Africa,2018-11
Gui.-Bis.,PU,Guinea-Bissau,5.368374421078096e-05,Africa,2018-11
S. Leo.,SL,Sierra Leone,4.61749556821091e-05,Africa,2018-11
Liber.,LI,Liberia,4.4901482007867514e-05,Africa,2018-11
,BN,Benin,5.688195604294782e-05,Africa,2018-11
Nig.,NI,Nigeria,5.61636064517881e-05,Africa,2018-11
Camer.,CM,Cameroon,5.301227374162716e-05,Africa,2018-11
Equa. Gui.,EK,Equatorial Guinea,4.619202704504885e-05,Africa,2018-11
S. To. & Prin.,TP,Sao Tome & Principe,4.308260712635889e-05,Africa,2018-11
,GB,Gabon,4.497264624909311e-05,Africa,2018-11
Rep. of the Congo,CF,Rep of the Congo,4.623385109037337e-05,Africa,2018-11
Cen. Afr. Rep.,CT,Central African Rep,6.109958993859988e-05,Africa,2018-11
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,4.71726156830508e-05,Africa,2018-11
,CD,Chad,5.0694195890546696e-05,Africa,2018-12
Mal.,MI,Malawi,4.215654691844016e-05,Africa,2018-12
Zam.,ZA,Zambia,4.218084022114097e-05,Africa,2018-12
Zimb.,ZI,Zimbabwe,4.985848780677727e-05,Africa,2018-12
Bots.,BC,Botswana,5.6017882106754275e-05,Africa,2018-12
Nam.,WA,Namibia,5.232636072969965e-05,Africa,2018-12
Ang.,AO,Angola,4.2995120599981123e-05,Africa,2018-12
Buru.,BY,Burundi,3.946645347826771e-05,Africa,2018-12
Rw.,RW,Rwanda,4.01085142499753e-05,Africa,2018-12
S. Afr.,SF,South Africa,6.720010179839336e-05,Africa,2018-12
Leso.,LT,Lesotho,6.116092301482737e-05,Africa,2018-12
Swaz.,WZ,Swaziland,7.702909667203007e-05,Africa,2018-12
May.,MF,Mayotte,4.248100293238855e-05,Africa,2018-12
,NG,Niger,4.435256869589518e-05,Africa,2018-12
,SU,Sudan,4.854476478011762e-05,Africa,2018-12
,LY,Libya,4.746896205656537e-05,Africa,2018-12
,UU,Koualou Area,8.42270562756189e-05,Africa,2018-12
Tun.,TS,Tunisia,5.513800473387815e-05,Africa,2018-12
,EG,Egypt,5.315506925825837e-05,Africa,2018-12
,EG,Bir Tawil,4.481860604611534e-05,Africa,2018-12
,SU,Halaib Triangle,4.440444496230935e-05,Africa,2018-12
Erit.,ER,Eritrea,4.759301222794872e-05,Africa,2018-12
Eth.,ET,Ethiopia,4.762264201834424e-05,Africa,2018-12
Dji.,DJ,Djibouti,4.631641690483038e-05,Africa,2018-12
Som.,SO,Somalia,4.031188163976616e-05,Africa,2018-12
S. Sudan,OD,South Sudan,8.140902974547494e-05,Africa,2018-12
,UU,Abyei Area,5.856024586127976e-05,Africa,2018-12
,KE,Kenya,3.971605223423045e-05,Africa,2018-12
Ug.,UG,Uganda,5.0909320061996786e-05,Africa,2018-12
Tanz.,TZ,Tanzania,4.046574998249511e-05,Africa,2018-12
Moz.,MZ,Mozambique,4.736022313118723e-05,Africa,2018-12
Como.,CN,Comoros,4.119288554152194e-05,Africa,2018-12
Madag.,MA,Madagascar,4.97655992794616e-05,Africa,2018-12
C. Ver.,CV,Cabo Verde,4.551929697530166e-05,Africa,2018-12
W. Sah.,WI,Western Sahara,4.7523915838459444e-05,Africa,2018-12
Maur.,MR,Mauritania,4.609078487292559e-05,Africa,2018-12
Mor.,MO,Morocco,5.125886569752425e-05,Africa,2018-12
Sp.,SP,Spain (Canary Is),5.7184097114826916e-05,Africa,2018-12
Port.,PO,Portugal (Madeira Is),5.5237752851839734e-05,Africa,2018-12
Sp.,SP,Spain (Africa),9.255154970289863e-05,Africa,2018-12
Alg.,AG,Algeria,5.059788047395019e-05,Africa,2018-12
,ML,Mali,4.714639540023268e-05,Africa,2018-12
Burk.,UV,Burkina Faso,5.3702902876524306e-05,Africa,2018-12
,TO,Togo,6.6997749729497e-05,Africa,2018-12
,GH,Ghana,7.023860047964501e-05,Africa,2018-12
C. d Iv.,IV,Cote d'Ivoire,6.00268774454042e-05,Africa,2018-12
Gui.,GV,Guinea,6.0031730854384094e-05,Africa,2018-12
Sen.,SG,Senegal,5.3737218322087274e-05,Africa,2018-12
Gam.,GA,"Gambia, The",5.36337878866238e-05,Africa,2018-12
Gui.-Bis.,PU,Guinea-Bissau,5.481020114300473e-05,Africa,2018-12
S. Leo.,SL,Sierra Leone,5.167566838360004e-05,Africa,2018-12
Liber.,LI,Liberia,4.8615965055927615e-05,Africa,2018-12
,BN,Benin,5.8847005050805295e-05,Africa,2018-12
Nig.,NI,Nigeria,5.98574460021475e-05,Africa,2018-12
Camer.,CM,Cameroon,6.715931876430271e-05,Africa,2018-12
Equa. Gui.,EK,Equatorial Guinea,5.601631674787717e-05,Africa,2018-12
S. To. & Prin.,TP,Sao Tome & Principe,4.9217943441674284e-05,Africa,2018-12
,GB,Gabon,5.6018428197044314e-05,Africa,2018-12
Rep. of the Congo,CF,Rep of the Congo,5.414135717439659e-05,Africa,2018-12
Cen. Afr. Rep.,CT,Central African Rep,8.714868682394094e-05,Africa,2018-12
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,4.75440219632596e-05,Africa,2018-12
,CD,Chad,4.710927014892321e-05,Africa,2019-01
Mal.,MI,Malawi,3.8091300705206515e-05,Africa,2019-01
Zam.,ZA,Zambia,3.875293736354074e-05,Africa,2019-01
Zimb.,ZI,Zimbabwe,4.5791410527015454e-05,Africa,2019-01
Bots.,BC,Botswana,5.383874261081005e-05,Africa,2019-01
Nam.,WA,Namibia,5.0630255796252074e-05,Africa,2019-01
