abbreviati,country_co,country_na,mean,wld_rgn,month
Dji.,DJ,Djibouti,9.508526839827865e-05,Africa,2019-03
Som.,SO,Somalia,9.665718249854272e-05,Africa,2019-03
S. Sudan,OD,South Sudan,0.00020106776589490173,Africa,2019-03
,UU,Abyei Area,0.00017848616591858025,Africa,2019-03
,KE,Kenya,0.0001153093844323869,Africa,2019-03
Ug.,UG,Uganda,0.00017341317806617156,Africa,2019-03
Tanz.,TZ,Tanzania,0.00013107561240599305,Africa,2019-03
Moz.,MZ,Mozambique,0.0001098610211622532,Africa,2019-03
Como.,CN,Comoros,0.00010788876963171095,Africa,2019-03
Madag.,MA,Madagascar,0.00010066451812877254,Africa,2019-03
C. Ver.,CV,Cabo Verde,5.354838720204194e-05,Africa,2019-03
W. Sah.,WI,Western Sahara,5.17655959999956e-05,Africa,2019-03
Maur.,MR,Mauritania,6.467656534938776e-05,Africa,2019-03
Mor.,MO,Morocco,5.959236285901246e-05,Africa,2019-03
Sp.,SP,Spain (Canary Is),4.5966746425402444e-05,Africa,2019-03
Port.,PO,Portugal (Madeira Is),3.3934749825301395e-05,Africa,2019-03
Sp.,SP,Spain (Africa),6.060585044521593e-05,Africa,2019-03
Alg.,AG,Algeria,5.4058401371889965e-05,Africa,2019-03
,ML,Mali,0.0001003180132838714,Africa,2019-03
Burk.,UV,Burkina Faso,0.00017522999845722575,Africa,2019-03
,TO,Togo,0.0002192804246643538,Africa,2019-03
,GH,Ghana,0.00021830713736098687,Africa,2019-03
C. d Iv.,IV,Cote d'Ivoire,0.00022858375848175514,Africa,2019-03
Gui.,GV,Guinea,0.00026746210497206494,Africa,2019-03
Sen.,SG,Senegal,0.00014698440100842383,Africa,2019-03
Gam.,GA,"Gambia, The",0.00016300068992083255,Africa,2019-03
Gui.-Bis.,PU,Guinea-Bissau,0.00024314467120772464,Africa,2019-03
S. Leo.,SL,Sierra Leone,0.0003143820209931505,Africa,2019-03
Liber.,LI,Liberia,0.00022485899273602726,Africa,2019-03
,BN,Benin,0.00022246962287936887,Africa,2019-03
Nig.,NI,Nigeria,0.00020465233457887686,Africa,2019-03
Camer.,CM,Cameroon,0.0002096624057238768,Africa,2019-03
Equa. Gui.,EK,Equatorial Guinea,0.0001695894269324096,Africa,2019-03
S. To. & Prin.,TP,Sao Tome & Principe,0.00014758803477446663,Africa,2019-03
,GB,Gabon,0.00017839124277084926,Africa,2019-03
Rep. of the Congo,CF,Rep of the Congo,0.00020759258141497464,Africa,2019-03
Cen. Afr. Rep.,CT,Central African Rep,0.0002586676760930009,Africa,2019-03
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,0.00020660655494207666,Africa,2019-03
,CD,Chad,0.00011633365148196946,Africa,2019-04
Mal.,MI,Malawi,0.00010402942162393373,Africa,2019-04
Zam.,ZA,Zambia,0.00011613684640514165,Africa,2019-04
Zimb.,ZI,Zimbabwe,0.00011183924996223086,Africa,2019-04
Bots.,BC,Botswana,0.00011825640063644186,Africa,2019-04
Nam.,WA,Namibia,0.00010757460886803925,Africa,2019-04
Ang.,AO,Angola,0.0001431478057446638,Africa,2019-04
Buru.,BY,Burundi,0.0001093320853156949,Africa,2019-04
Rw.,RW,Rwanda,0.00011918976528172947,Africa,2019-04
S. Afr.,SF,South Africa,9.377757358371058e-05,Africa,2019-04
Leso.,LT,Lesotho,7.155972094791444e-05,Africa,2019-04
Swaz.,WZ,Swaziland,0.00013423313933010766,Africa,2019-04
May.,MF,Mayotte,0.00011094942213405835,Africa,2019-04
,NG,Niger,8.742990019219758e-05,Africa,2019-04
,SU,Sudan,9.759020082573928e-05,Africa,2019-04
,LY,Libya,5.277076606057925e-05,Africa,2019-04
,UU,Koualou Area,0.0002075683747927721,Africa,2019-04
Tun.,TS,Tunisia,5.697747060179231e-05,Africa,2019-04
,EG,Egypt,6.274416267634438e-05,Africa,2019-04
,EG,Bir Tawil,5.934237261702988e-05,Africa,2019-04
,SU,Halaib Triangle,6.206813447299546e-05,Africa,2019-04
Erit.,ER,Eritrea,0.00010148751312244101,Africa,2019-04
Eth.,ET,Ethiopia,0.00012051591766444136,Africa,2019-04
Dji.,DJ,Djibouti,9.948044810318271e-05,Africa,2019-04
Som.,SO,Somalia,8.807200643343131e-05,Africa,2019-04
S. Sudan,OD,South Sudan,0.00019892901145985277,Africa,2019-04
,UU,Abyei Area,0.00020186310950916206,Africa,2019-04
,KE,Kenya,0.00011138920788193474,Africa,2019-04
Ug.,UG,Uganda,0.00015058556279455332,Africa,2019-04
